timestamp,test-class,test-method,time,description,result
2021-06-03 20:53:10.851,acme.testing.administrator.spamfilter.AdministratorSpamFilterUpdateTest,updateTaskPositive,12049,"[1] recordIndex=0, threshold=15.00",OK
2021-06-03 20:53:23.559,acme.testing.administrator.spamfilter.AdministratorSpamFilterUpdateTest,updateTaskPositive,11880,"[2] recordIndex=1, threshold=40.00",OK
2021-06-03 20:53:34.378,acme.testing.administrator.spamfilter.AdministratorSpamFilterUpdateTest,updateTaskPositive,10220,"[3] recordIndex=2, threshold=100.00",OK
2021-06-03 20:53:46.743,acme.testing.administrator.spamfilter.AdministratorSpamFilterUpdateTest,updateTaskPositive,11702,"[4] recordIndex=3, threshold=0.00",OK
2021-06-03 20:53:57.237,acme.testing.administrator.spamfilter.AdministratorSpamFilterUpdateTest,updateTaskNegative,9282,"[1] recordIndex=0, threshold=-15.00",OK
2021-06-03 20:54:06.579,acme.testing.administrator.spamfilter.AdministratorSpamFilterUpdateTest,updateTaskNegative,8695,"[2] recordIndex=1, threshold=143.00",OK
2021-06-03 20:54:15.614,acme.testing.administrator.spamfilter.AdministratorSpamFilterUpdateTest,updateTaskNegative,8466,"[3] recordIndex=2, threshold=100.01",OK
2021-06-03 20:54:43.129,acme.testing.administrator.dashboard.AdministratorDashboardShowTest,showDashboard,8864,"[1] recordIndex=0",OK
2021-06-03 20:55:16.332,acme.testing.administrator.word.AdministratorWordCreateTest,crateWordPositive,15213,"[1] recordIndex=10, word=cojones",OK
2021-06-03 20:55:29.613,acme.testing.administrator.word.AdministratorWordCreateTest,crateWordPositive,12469,"[2] recordIndex=11, word=polla",OK
2021-06-03 20:55:39.71,acme.testing.administrator.word.AdministratorWordCreateTest,crateWordNegative,9353,"[1] recordIndex=12, word=null",OK
2021-06-03 20:56:08.7,acme.testing.administrator.word.AdministratorWordDeleteTest,crateWordPositive,12330,"[1] recordIndex=0, word1=sexo, word2=has ganado",OK
2021-06-03 20:56:35.294,acme.testing.administrator.word.AdministratorWordListTest,listWord,8887,"[1] recordIndex=0, word=sexo",OK
2021-06-03 20:56:43.929,acme.testing.administrator.word.AdministratorWordListTest,listWord,7913,"[2] recordIndex=1, word=has ganado",OK
2021-06-03 20:56:52.568,acme.testing.administrator.word.AdministratorWordListTest,listWord,7894,"[3] recordIndex=2, word=millón de dólares",OK
2021-06-03 20:57:22.241,acme.testing.authenticated.task.AuthenticatedTaskListTest,listTask,10586,"[1] recordIndex=0, title=Crear lista de tasks para administrator, description=Crear repositorio de la clase Task para posterior implementación en Service, link=https://github.com/Antonio-Gonzalez-Gomez/DP2-G50-Sprint2/issues/2, startDate=2021/04/03 10:00, endingDate=2021/04/05 12:00, workload=7.00, finished=true, privacy=false, executionPeriod=2000",OK
2021-06-03 20:57:55.0,acme.testing.manager.task.ManagerTaskCreateTest,createTaskPositive,14559,"[1] recordIndex=5, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 20:58:09.869,acme.testing.manager.task.ManagerTaskCreateTest,createTaskPositive,14116,"[2] recordIndex=6, title=creacion2, description=Creacion de nueva task 2, link=null, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=false, execution_period=24, manager_id=21",OK
2021-06-03 20:58:19.898,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,9413,"[1] recordIndex=4, title=null, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 20:58:31.18,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,10719,"[2] recordIndex=5, title=creacion1, description=null, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 20:58:41.333,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,9462,"[3] recordIndex=6, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=null, ending_date=2022/10/21 12:00, workload=10.00, finished=finished, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 20:58:51.636,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,9662,"[4] recordIndex=7, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=null, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 20:59:01.698,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,9478,"[5] recordIndex=8, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=null, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 20:59:12.122,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,9770,"[6] recordIndex=9, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2010/10/20 12:00, ending_date=2010/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 20:59:23.089,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,10283,"[7] recordIndex=10, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/21 12:00, ending_date=2022/10/20 12:00, workload=10.00, finished=false, privacy=true, execution_period=-24, manager_id=21",OK
2021-06-03 20:59:34.12,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,10319,"[8] recordIndex=11, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/25 12:00, workload=100.00, finished=false, privacy=true, execution_period=120, manager_id=21",OK
2021-06-03 20:59:43.898,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,9111,"[9] recordIndex=12, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/20 15:00, workload=50.00, finished=true, privacy=false, execution_period=3, manager_id=21",OK
2021-06-03 20:59:54.309,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,9736,"[10] recordIndex=13, title=sexo sexo, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 21:00:04.254,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,9038,"[11] recordIndex=14, title=creacion1, description=viagra cialis, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 21:00:13.675,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,8825,"[12] recordIndex=15, title=decimales1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.61, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 21:00:23.601,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,9208,"[13] recordIndex=16, title=decimales2, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.111, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-03 21:00:49.711,acme.testing.manager.task.ManagerTaskListTest,listTask,8548,"[1] recordIndex=0, title=Crear repositorio de la clase Task, description=Crear repositorio de la clase Task para posterior implementación en Service, link=https://github.com/Antonio-Gonzalez-Gomez/DP2-G50-Sprint2/issues/2, startDate=2021/04/03 10:00, endingDate=2021/04/05 12:00, workload=6.00, finished=true, privacy=true, executionPeriod=50",OK
2021-06-03 21:00:59.675,acme.testing.manager.task.ManagerTaskListTest,listTask,9171,"[2] recordIndex=1, title=Crear lista de tasks para anonymous, description=Crear lista de las tasks para usuarios con anonymous, link=https://github.com/Antonio-Gonzalez-Gomez/DP2-G50-Sprint2/issues/8, startDate=2021/04/03 10:00, endingDate=2021/04/05 12:00, workload=8.00, finished=false, privacy=true, executionPeriod=50",OK
2021-06-03 21:01:29.212,acme.testing.manager.task.ManagerTaskDeleteTest,updateTaskPositive,12111,"[1] recordIndex=0, title1=Crear repositorio de la clase Task, title2=Crear lista de tasks para anonymous",OK
2021-06-03 21:02:01.463,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskPositive,13661,"[1] recordIndex=0, title=update1, description=Update de task 1, link=http://www.acme.com, start_date=2022/11/20 12:00, ending_date=2022/11/21 12:00, workload=15.00, finished=false, privacy=true, execution_period=24, manager_id=18",OK
2021-06-03 21:02:15.342,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskPositive,13080,"[2] recordIndex=1, title=update2, description=Update de task 2, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=15.00, finished=true, privacy=false, execution_period=24, manager_id=18",OK
2021-06-03 21:02:24.923,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskNegative,8917,"[1] recordIndex=0, title=null, description=Modificacion de task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=18",OK
2021-06-03 21:02:35.969,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskNegative,10288,"[2] recordIndex=0, title=update1, description=null, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=18",OK
2021-06-03 21:02:46.07,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskNegative,9193,"[3] recordIndex=0, title=update1, description=Modificacion de task 1, link=http://www.acme.com, start_date=null, ending_date=2022/10/21 12:00, workload=10.00, finished=finished, privacy=true, execution_period=24, manager_id=18",OK
2021-06-03 21:02:56.821,acme.testing.manager.task.ManagerTaskUpdateTest,updateTaskNegative,10071,"[4] recordIndex=0, title=update1, description=Modificacion de task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=null, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=18",OK
